EAR,Blink Rate,Gaze Direction,Head Angle,Posture,Emotion,Screen Time,Distraction Count,Focus Level,Prediction
0.2139,0.0,Away,19.8,Slouch,Sad,2,0,0,Distracted
0.2258,5.92,Away,19.86,Slouch,Happy,9,1,0,Distracted
0.2368,5.73,Away,19.84,Slouch,Neutral,9,1,0,Distracted
0.2333,5.55,Away,19.81,Slouch,Neutral,9,1,0,Distracted
0.2366,5.38,Away,19.81,Slouch,Sad,10,1,0,Distracted
0.2607,9.62,Away,4.34,Straight,Happy,11,1,18,Distracted
0.2081,9.37,Away,5.0,Straight,Sad,11,1,16,Distracted
0.2222,9.13,Away,6.41,Straight,Focused,12,1,17,Distracted
0.2944,8.9,Away,6.74,Straight,Sad,12,1,17,Distracted
0.3152,8.68,Away,6.88,Straight,Sad,12,1,20,Distracted
0.3171,8.48,Away,6.96,Straight,Sad,13,1,19,Distracted
0.3106,8.28,Away,6.97,Straight,Sad,13,1,15,Distracted
0.3179,8.11,Away,7.03,Straight,Focused,13,1,18,Distracted
0.3221,7.93,Away,6.84,Straight,Neutral,14,1,20,Distracted
0.0677,7.76,Away,6.93,Straight,Neutral,14,1,14,Distracted
0.2663,11.39,Away,8.17,Straight,Focused,14,1,17,Distracted
0.3036,11.14,Away,8.4,Straight,Neutral,15,1,21,Distracted
0.3009,10.91,Away,9.46,Straight,Focused,15,1,20,Distracted
0.2465,10.71,Away,12.6,Slouch,Focused,15,1,18,Distracted
0.2385,10.51,Away,13.45,Slouch,Neutral,16,1,0,Distracted
0.2984,10.31,Away,11.46,Straight,Sad,16,1,21,Distracted
0.1784,10.11,Away,10.77,Straight,Neutral,16,1,7,Distracted
0.2774,13.23,Away,10.04,Straight,Neutral,17,1,19,Distracted
0.2681,12.32,Away,1.34,Straight,Sad,18,1,19,Distracted
0.2783,12.11,Away,1.33,Straight,Neutral,18,1,19,Distracted
0.294,11.89,Away,0.48,Straight,Neutral,19,1,19,Distracted
0.276,11.73,Away,4.03,Straight,Focused,19,1,21,Distracted
0.3009,11.53,Away,4.05,Straight,Focused,19,1,22,Distracted
0.2905,11.0,Away,-0.11,Straight,Happy,20,1,22,Distracted
0.2657,10.83,Away,-0.97,Straight,Happy,21,1,17,Distracted
0.2804,10.67,Screen,-1.06,Straight,Sad,21,1,28,Focused
0.2709,10.53,Screen,-0.37,Straight,Neutral,21,1,94,Focused
0.2766,10.38,Screen,-0.08,Straight,Sad,22,1,94,Focused
0.2572,10.23,Screen,-0.31,Straight,Neutral,22,1,94,Focused
0.2634,10.08,Away,-0.14,Straight,Sad,22,1,61,Distracted
0.2591,9.94,Away,-0.74,Straight,Sad,23,1,16,Distracted
0.27,9.81,Away,-0.96,Straight,Happy,23,1,20,Distracted
0.2429,9.68,Away,-0.61,Straight,Happy,23,1,18,Distracted
0.2461,9.54,Away,-0.2,Straight,Happy,24,1,18,Distracted
0.2547,9.43,Away,0.94,Straight,Happy,24,1,19,Distracted
0.2597,9.3,Away,0.87,Straight,Sad,24,2,19,Distracted
0.2723,9.18,Away,-0.04,Straight,Focused,25,2,21,Distracted
0.2712,9.07,Away,0.06,Straight,Sad,25,2,17,Distracted
0.2834,8.95,Away,0.14,Straight,Neutral,25,2,21,Distracted
0.2859,8.84,Away,-1.0,Straight,Sad,26,2,16,Distracted
0.2996,8.73,Screen,-1.42,Straight,Neutral,26,2,32,Focused
0.2562,10.79,Screen,-2.01,Straight,Focused,26,2,90,Focused
0.2668,10.66,Screen,-2.85,Straight,Sad,27,2,90,Focused
0.2609,10.53,Screen,-1.8,Straight,Focused,27,2,97,Focused
0.3364,12.5,Screen,3.23,Straight,Happy,27,2,92,Focused
0.2578,12.36,Screen,-0.58,Straight,Happy,28,2,90,Focused
0.2715,12.21,Screen,-1.61,Straight,Happy,28,2,96,Focused
0.2815,12.07,Screen,-2.07,Straight,Focused,28,2,93,Focused
0.2846,11.94,Screen,-2.49,Straight,Focused,29,2,96,Focused
0.2581,11.8,Away,-3.27,Straight,Happy,29,2,21,Distracted
0.2625,11.69,Away,-3.42,Straight,Sad,29,2,19,Distracted
0.268,11.56,Away,-3.17,Straight,Neutral,30,2,21,Distracted
0.257,11.44,Away,-3.15,Straight,Neutral,30,2,22,Distracted
0.25,11.32,Away,-3.16,Straight,Focused,30,2,23,Distracted
0.2482,11.2,Away,-3.45,Straight,Happy,31,2,19,Distracted
0.2678,11.09,Away,-5.58,Straight,Happy,31,3,17,Distracted
0.2695,10.97,Away,-7.28,Straight,Focused,31,3,18,Distracted
0.2704,10.86,Away,-7.64,Straight,Happy,32,3,18,Distracted
0.2721,10.75,Away,-6.74,Straight,Happy,32,3,18,Distracted
0.2543,10.65,Away,-5.48,Straight,Sad,32,3,20,Distracted
0.2706,10.55,Away,-5.84,Straight,Sad,33,3,16,Distracted
0.283,10.44,Away,-4.99,Straight,Focused,33,3,24,Distracted
0.288,10.34,Away,-4.8,Straight,Neutral,33,3,18,Distracted
0.275,10.24,Away,-6.18,Straight,Neutral,34,3,19,Distracted
0.2866,10.15,Away,-8.36,Straight,Sad,34,3,16,Distracted
0.2682,10.05,Away,-8.9,Straight,Neutral,34,3,20,Distracted
0.2689,9.96,Away,-8.41,Straight,Happy,35,3,23,Distracted
0.2586,9.86,Away,-8.03,Straight,Happy,35,3,18,Distracted
0.128,9.78,Away,-7.13,Straight,Focused,35,3,16,Distracted
0.2353,11.31,Away,-4.39,Straight,Happy,36,3,18,Distracted
0.2757,12.81,Away,-2.4,Straight,Focused,36,3,17,Distracted
0.3608,12.7,Screen,-0.76,Straight,Neutral,36,3,68,Focused
0.2593,14.15,Screen,-1.6,Straight,Focused,37,3,87,Focused
0.2718,14.03,Away,-2.69,Straight,Focused,37,3,21,Distracted
0.2643,13.92,Away,-2.69,Straight,Sad,37,3,17,Distracted
0.2503,13.8,Away,-2.81,Straight,Happy,38,3,22,Distracted
0.2649,13.68,Away,-2.86,Straight,Focused,38,3,21,Distracted
0.2749,13.57,Away,-2.95,Straight,Focused,38,3,23,Distracted
0.277,13.45,Away,-3.21,Straight,Sad,39,3,16,Distracted
0.2824,13.34,Away,-2.8,Straight,Sad,39,4,18,Distracted
0.3218,13.23,Away,-4.0,Straight,Neutral,39,4,18,Distracted
0.2106,13.12,Away,-3.82,Straight,Happy,40,4,21,Distracted
0.2507,13.02,Away,-3.4,Straight,Happy,40,4,21,Distracted
0.2607,12.91,Screen,-2.79,Straight,Sad,40,4,94,Focused
0.2796,12.81,Screen,-2.29,Straight,Happy,41,4,99,Focused
